11544|71 71 71 71 12 93 86 68 68 68 73 16 74 27 47 3 52 52 52 24 61 61 43 43 43 15 15 7 7 87 87 9 9 29 6 15 15 7 23 62 62 29 28 28 37 37 37 37 51 51 51 46 46 70 52 52 25 25 9 9 85 11 11 11 64 60 70 52 25 25 68 68 68 44 85 85 94 94 42 32 88 88 81 81 81 81 81 81 83 83 84 63 63 22 22 72 72 72 72 72 72 72 72 72 72 72 40 40 63 63 93 70 14 76 76 1 1 21 98 98 69 60 90 35 35 35 9 32 74 74 27 31 23 23 62 74 27 31 59 59 33 33 30 30 30 30 16 50 77 44 80 85 94 94 32 32 64 85 85 53 53 53 53 9 74 37 37 63 86 86 91 38 38 44 80 85 85 62 62 74 27 31 59 59 33 91 91 91 43 43 74 21 21 95 99 92 82 82 23 44 80 11 11 11 69 74 27 47 52 52 52 24 61 61 61 43 43 6 15 15 7 87 87 68 42 42 43 43 6 15 15 15 15 15 15 15 41 41 41 84 63 63 22 22 22 72 72 72 72 72 20 20 20 20
7331|71 71 40 71 93 27 86 68 68 68 44 80 18 85 5 5 5 65 65 6 36 15 15 49 92 92 63 78 48 48 48 46 46 30 30 75 75 75 75 91 91 9 9 85 85 5 5 79 79 79 79 79 79 79 81 81 83 83 83 84 63 22 22 72 72 72 72 72 72 72 20 20
6702|71 71 71 40 40 63 93 59 75 75 33 33 24 68 68 68 17 19 90 35 35 42 42 42 42 42 74 27 31 41 83 84 84 84 63 22 22 72 72 72 72 72 72 72 72 20
809|71 71 71 71 40 63 93 70 70 14 76 53 44 80 18 18 31 87 87 97 97 97 70 70 70 14 76 76 53 62 1 99 27 15 15 3 3 63 3 87 24 24 13 17 17 68 58 11 98 98 98 98 98 42 42 42 97 81 81 81 81 83 83 72 72 72 72 72 72 72 72 72 72 72 72 72 20 20
10479|71 71 71 71 40 63 93 93 26 26 26 26 98 69 69 69 69 14 76 76 73 27 89 6 15 15 15 7 87 87 68 68 19 35 35 5 5 30 30 25 25 94 94 32 32 85 85 5 5 79 79 79 79 79 79 81 81 83 83 84 72 72 72 72 22 22 72 72 72 72 72 72 72 20 20
10333|71 71 71 40 63 63 86 68 68 68 68 44 44 80 26 26 26 26 87 87 97 97 97 97 97 44 80 85 37 37 86 0 0 0 0 0 30 79 79 79 79 79 79 79 79 79 79 79 81 81 83 83 83 84 72 72 63 22 22 72 72 72 72 72 72 72 20 20
3336|71 71 40 71 40 63 93 31 87 53 53 53 53 19 19 19 35 73 73 1 74 27 89 78 33 33 33 24 61 61 61 46 46 46 79 79 79 79 1 85 85 83 84 96 55 63 55 72 72 72 72 72 72 72 72 72 20
7707|71 71 71 71 40 63 31 31 59 59 75 33 33 24 68 68 68 68 43 43 43 6 6 15 15 15 92 92 27 89 6 15 15 15 15 41 41 83 84 84 22 63 22 22 72 72 72 72 72 72 72 72 20
2711|71 71 71 71 93 63 93 93 50 50 50 69 69 69 69 69 69 69 16 3 77 77 87 68 68 68 37 37 37 24 61 68 68 44 18 18 31 23 23 99 99 82 82 62 62 62 6 15 15 15 15 7 7 87 87 9 9 16 77 77 73 44 44 80 85 73 73 99 99 27 63 78 78 33 35 35 35 68 68 68 68 68 42 42 16 1 66 2 99 15 15 15 15 15 41 41 41 83 72 72 72 72 72 72 72 72 72 72 72 72 20 20 20
11263|71 71 71 71 40 63 93 93 15 15 15 7 7 87 5 30 30 30 65 74 74 21 21 95 95 37 37 27 27 86 91 91 91 38 9 44 80 60 52 52 30 73 16 74 27 47 59 33 35 35 35 94 94 32 32 32 32 65 65 6 15 15 15 15 15 15 15 41 41 41 83 84 72 72 72 72 72 72 72 72 72 72 20 20 20 20
4761|71 71 71 71 63 63 86 86 24 24 68 68 9 29 29 28 28 28 23 60 50 50 50 50 50 50 76 97 97 97 97 97 65 65 6 15 15 7 7 87 87 42 42 42 42 42 6 6 6 15 15 15 15 15 15 41 41 41 84 63 63 96 55 55 72 72 72 72 72 72 72 72 20 20
10857|71 71 71 71 71 63 93 3 3 3 24 24 13 13 58 17 17 19 19 19 74 27 31 23 23 69 69 70 14 76 76 62 74 74 21 95 49 99 92 82 82 73 73 74 27 47 52 52 52 24 61 61 61 43 43 6 15 15 7 87 87 9 43 6 6 15 15 15 92 63 31 59 33 68 68 16 16 18 66 27 3 90 90 35 35 9 9 9 74 70 70 14 19 19 19 19 1 27 47 11 11 64 60 70 52 25 25 25 42 42 74 85 80 80 80 80 81 81 81 81 81 81 83 72 72 72 72 72 63 72 72 72 72 72 72 20 20 20
